Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
all_features,PT_BR,fold_8,support,"289,0","289,0","0,2179930795847751","578,0","578,0"
all_features,PT_BR,fold_9,precision,"0,2581818181818182","0,28052805280528054","0,2698961937716263","0,2693549354935494","0,26935493549354933"
all_features,PT_BR,fold_9,recall,"0,24567474048442905","0,29411764705882354","0,2698961937716263","0,2698961937716263","0,2698961937716263"
all_features,PT_BR,fold_9,f1-score,"0,25177304964539005","0,28716216216216217","0,2698961937716263","0,2694676059037761","0,2694676059037761"
all_features,PT_BR,fold_9,support,"289,0","289,0","0,2698961937716263","578,0","578,0"
all_features,PT_PT,fold_0,precision,"0,15","0,19718309859154928","0,17557251908396945","0,17359154929577464","0,17341146113321146"
all_features,PT_PT,fold_0,recall,"0,13636363636363635","0,2153846153846154","0,17557251908396945","0,17587412587412588","0,17557251908396945"
all_features,PT_PT,fold_0,f1-score,"0,14285714285714282","0,20588235294117646","0,17557251908396945","0,17436974789915966","0,17412919366219767"
all_features,PT_PT,fold_0,support,"66,0","65,0","0,17557251908396945","131,0","131,0"
all_features,PT_PT,fold_1,precision,"0,18333333333333332","0,22535211267605634","0,20610687022900764","0,20434272300469483","0,20418234598430277"
all_features,PT_PT,fold_1,recall,"0,16666666666666666","0,24615384615384617","0,20610687022900764","0,2064102564102564","0,20610687022900764"
all_features,PT_PT,fold_1,f1-score,"0,1746031746031746","0,23529411764705882","0,20610687022900764","0,2049486461251167","0,2047170013043385"
all_features,PT_PT,fold_1,support,"66,0","65,0","0,20610687022900764","131,0","131,0"
all_features,PT_PT,fold_2,precision,"0,11475409836065574","0,17142857142857143","0,1450381679389313","0,1430913348946136","0,14330764967731555"
all_features,PT_PT,fold_2,recall,"0,1076923076923077","0,18181818181818182","0,1450381679389313","0,14475524475524476","0,1450381679389313"
all_features,PT_PT,fold_2,f1-score,"0,1111111111111111","0,1764705882352941","0,1450381679389313","0,1437908496732026","0,14404031332634837"
all_features,PT_PT,fold_2,support,"65,0","66,0","0,1450381679389313","131,0","131,0"
all_features,PT_PT,fold_3,precision,"0,12121212121212122","0,12307692307692308","0,12213740458015267","0,12214452214452215","0,12215163970889162"
all_features,PT_PT,fold_3,recall,"0,12307692307692308","0,12121212121212122","0,12213740458015267","0,12214452214452215","0,12213740458015267"
all_features,PT_PT,fold_3,f1-score,"0,12213740458015268","0,12213740458015268","0,12213740458015267","0,12213740458015268","0,12213740458015267"
all_features,PT_PT,fold_3,support,"65,0","66,0","0,12213740458015267","131,0","131,0"
all_features,PT_PT,fold_4,precision,"0,1111111111111111","0,13432835820895522","0,12307692307692308","0,12271973466003316","0,12271973466003316"
all_features,PT_PT,fold_4,recall,"0,1076923076923077","0,13846153846153847","0,12307692307692308","0,12307692307692308","0,12307692307692308"
all_features,PT_PT,fold_4,f1-score,"0,10937500000000001","0,13636363636363635","0,12307692307692308","0,12286931818181818","0,12286931818181818"
all_features,PT_PT,fold_4,support,"65,0","65,0","0,12307692307692308","130,0","130,0"
all_features,PT_PT,fold_5,precision,"0,1791044776119403","0,15873015873015872","0,16923076923076924","0,1689173181710495","0,16891731817104952"
all_features,PT_PT,fold_5,recall,"0,18461538461538463","0,15384615384615385","0,16923076923076924","0,16923076923076924","0,16923076923076924"
all_features,PT_PT,fold_5,f1-score,"0,18181818181818182","0,15625","0,16923076923076924","0,1690340909090909","0,1690340909090909"
all_features,PT_PT,fold_5,support,"65,0","65,0","0,16923076923076924","130,0","130,0"
all_features,PT_PT,fold_6,precision,"0,07142857142857142","0,17567567567567569","0,13076923076923078","0,12355212355212356","0,12355212355212356"
all_features,PT_PT,fold_6,recall,"0,06153846153846154","0,2","0,13076923076923078","0,13076923076923078","0,13076923076923078"
all_features,PT_PT,fold_6,f1-score,"0,06611570247933884","0,1870503597122302","0,13076923076923078","0,1265830310957845","0,12658303109578453"
all_features,PT_PT,fold_6,support,"65,0","65,0","0,13076923076923078","130,0","130,0"
all_features,PT_PT,fold_7,precision,"0,11666666666666667","0,17142857142857143","0,14615384615384616","0,14404761904761904","0,14404761904761904"
